transaction_id,customer_id,product_id,store_id,timestamp,ts_str,ts_tz,quantity,amount,amount_str,discount_pct,discount_str,payment_method,status,device,channel,hi_value_flag
17,181,45,4,2024-09-21 06:43:45,2024/09/21 06:43,2024-09-21T06:43:45-05:00,1,30.69,$30.69,5,5%,card,pending,web,desktop,0
18,282,68,2,2024-04-30 18:20:52,30/04/2024 18:20,2024-04-30T18:20:52-05:00,4,430.52,$430.52,10,10%,transfer,completed,android,mobile,0
19,42,21,10,2024-09-18 10:34:37,2024-09-18 10:34:37,2024-09-18T10:34:37-05:00,5,72.69,$72.69,0,0%,cash,pending,android,mobile,0
20,48,29,1,2024-03-13 00:54:28,13-Mar-2024 00:54:28,2024-03-13T00:54:28-05:00,2,49.39,$49.39,0,0%,transfer,pending,web,desktop,0
21,264,59,8,2024-03-16 02:55:26,2024/03/16 02:55,2024-03-16T02:55:26-05:00,1,88.77,$88.77,0,0%,card,completed,ios,mobile,0
22,87,8,13,2024-09-24 03:47:57,2024-09-24T03:47:57,2024-09-24T03:47:57-05:00,1,3.19,$3.19,10,10%,transfer,completed,web,desktop,0
23,148,21,8,2024-07-24 11:01:34,2024-07-24 11:01:34,2024-07-24T11:01:34-05:00,2,31.14,$31.14,25,25%,wallet,pending,android,mobile,0
24,51,58,5,2025-07-20 19:11:11,20-Jul-2025 19:11:11,2025-07-20T19:11:11-05:00,5,1142.75,"$1,142.75",15,15%,card,completed,web,desktop,1
25,220,8,8,2025-02-20 12:00:58,2025-02-20 12:00:58,2025-02-20T12:00:58-05:00,1,3.33,$3.33,10,10%,card,completed,web,desktop,0
26,105,41,18,2024-10-21 00:23:32,2024-10-21 00:23:32,2024-10-21T00:23:32-05:00,2,495.47,$495.47,0,0%,wallet,completed,ios,mobile,0
27,288,32,2,2025-03-04 18:46:59,2025/03/04 18:46,2025-03-04T18:46:59-05:00,3,1577.65,"$1,577.65",0,0%,cash,completed,web,desktop,1
28,124,22,20,2025-05-03 06:41:42,2025-05-03T06:41:42,2025-05-03T06:41:42-05:00,4,322.99,$322.99,0,0%,transfer,completed,web,desktop,0
29,32,39,17,2024-10-07 21:21:55,2024-10-07T21:21:55,2024-10-07T21:21:55-05:00,4,646.33,$646.33,0,0%,transfer,completed,android,mobile,0
30,238,7,12,2024-05-29 08:31:08,2024-05-29 08:31:08,2024-05-29T08:31:08-05:00,3,74.76,$74.76,15,15%,card,completed,ios,mobile,0
31,258,29,15,2024-02-05 14:13:42,05/02/2024 14:13,2024-02-05T14:13:42-05:00,4,96.74,$96.74,0,0%,card,pending,ios,mobile,0
32,171,37,1,2024-08-12 18:34:57,2024-08-12 18:34:57,2024-08-12T18:34:57-05:00,3,461.11,$461.11,5,5%,cash,pending,ios,mobile,0
33,128,8,10,2024-06-29 19:32:11,2024-06-29 19:32:11,2024-06-29T19:32:11-05:00,2,5.48,$5.48,0,0%,cash,refunded,web,desktop,0
34,224,64,10,2024-10-22 06:03:59,2024/10/22 06:03,2024-10-22T06:03:59-05:00,2,457.97,$457.97,5,5%,cash,completed,web,desktop,0
35,112,13,9,2024-12-18 04:10:50,2024/12/18 04:10,2024-12-18T04:10:50-05:00,4,767.05,$767.05,15,15%,transfer,pending,web,desktop,1
36,121,34,20,2024-05-06 08:05:31,2024/05/06 08:05,2024-05-06T08:05:31-05:00,3,597.57,$597.57,15,15%,card,completed,web,desktop,0
37,111,4,20,2024-10-02 22:43:33,02/10/2024 22:43,2024-10-02T22:43:33-05:00,2,206.66,$206.66,5,5%,card,completed,ios,mobile,0
38,202,38,14,2025-06-04 12:58:14,2025/06/04 12:58,2025-06-04T12:58:14-05:00,4,2642.55,"$2,642.55",0,0%,card,pending,ios,mobile,1
39,3,58,20,2025-06-29 02:52:43,2025-06-29 02:52:43,2025-06-29T02:52:43-05:00,4,806.57,$806.57,5,5%,cash,completed,web,desktop,1
40,211,22,13,2025-04-18 03:01:29,18/04/2025 03:01,2025-04-18T03:01:29-05:00,4,369.35,$369.35,10,10%,transfer,completed,web,desktop,0
41,228,55,17,2025-02-18 21:05:20,18/02/2025 21:05,2025-02-18T21:05:20-05:00,1,590.39,$590.39,0,0%,cash,completed,android,mobile,0
42,118,45,1,2024-05-06 22:02:35,06-May-2024 22:02:35,2024-05-06T22:02:35-05:00,1,34.21,$34.21,5,5%,card,completed,android,mobile,0
43,124,75,7,2024-10-21 17:33:43,2024/10/21 17:33,2024-10-21T17:33:43-05:00,1,439.36,$439.36,0,0%,cash,refunded,web,desktop,0
44,107,70,17,2025-05-12 02:27:36,2025-05-12T02:27:36,2025-05-12T02:27:36-05:00,3,206.35,$206.35,20,20%,card,completed,android,mobile,0
45,49,21,10,2024-06-19 13:55:24,2024/06/19 13:55,2024-06-19T13:55:24-05:00,5,81.68,$81.68,10,10%,card,pending,android,mobile,0
46,280,57,4,2024-02-13 10:45:32,13/02/2024 10:45,2024-02-13T10:45:32-05:00,1,140.06,$140.06,10,10%,card,completed,ios,mobile,0
47,36,30,12,2024-01-25 22:23:30,2024/01/25 22:23,2024-01-25T22:23:30-05:00,2,418.94,$418.94,0,0%,card,pending,web,desktop,0
48,182,70,12,2024-11-07 14:15:13,2024/11/07 14:15,2024-11-07T14:15:13-05:00,1,71.49,$71.49,0,0%,card,pending,web,desktop,0
49,196,50,1,2024-02-21 09:50:42,21/02/2024 09:50,2024-02-21T09:50:42-05:00,3,581.36,$581.36,20,20%,card,completed,android,mobile,0
50,143,48,7,2025-03-16 13:00:08,2025/03/16 13:00,2025-03-16T13:00:08-05:00,5,137.71,$137.71,5,5%,card,completed,android,mobile,0
51,82,69,3,2024-06-14 03:38:45,14-Jun-2024 03:38:45,2024-06-14T03:38:45-05:00,2,30.68,$30.68,0,0%,card,pending,android,mobile,0
52,161,50,4,2024-11-03 07:06:47,03-Nov-2024 07:06:47,2024-11-03T07:06:47-05:00,2,366.91,$366.91,10,10%,card,refunded,web,desktop,0
53,28,58,11,2024-04-20 23:19:10,2024/04/20 23:19,2024-04-20T23:19:10-05:00,1,234.37,$234.37,5,5%,cash,completed,android,mobile,0
54,5,2,16,2024-04-18 10:53:52,18/04/2024 10:53,2024-04-18T10:53:52-05:00,1,3.03,$3.03,5,5%,card,completed,ios,mobile,0
55,294,60,10,2025-08-01 15:36:04,2025-08-01T15:36:04,2025-08-01T15:36:04-05:00,3,197.03,$197.03,15,15%,card,completed,web,desktop,0
56,68,15,8,2025-02-22 15:15:53,2025/02/22 15:15,2025-02-22T15:15:53-05:00,5,1129.75,"$1,129.75",0,0%,card,pending,ios,mobile,1
57,284,26,17,2025-03-30 01:28:21,30-Mar-2025 01:28:21,2025-03-30T01:28:21-05:00,2,532.45,$532.45,5,5%,wallet,completed,web,desktop,0
58,262,39,20,2025-03-29 05:50:31,29-Mar-2025 05:50:31,2025-03-29T05:50:31-05:00,1,146.03,$146.03,0,0%,card,completed,web,desktop,0
59,8,24,9,2024-10-08 04:06:10,08/10/2024 04:06,2024-10-08T04:06:10-05:00,4,238.59,$238.59,0,0%,cash,completed,android,mobile,0
60,210,42,20,2024-04-17 10:41:26,2024-04-17T10:41:26,2024-04-17T10:41:26-05:00,4,795.35,$795.35,10,10%,card,pending,web,desktop,1
61,220,1,8,2025-01-18 07:48:07,2025-01-18 07:48:07,2025-01-18T07:48:07-05:00,5,3947.29,"$3,947.29",15,15%,card,completed,android,mobile,1
62,275,32,9,2024-02-06 14:18:46,2024-02-06 14:18:46,2024-02-06T14:18:46-05:00,4,2425.74,"$2,425.74",0,0%,wallet,completed,web,desktop,1
63,158,13,2,2024-04-28 17:10:07,28/04/2024 17:10,2024-04-28T17:10:07-05:00,4,839.25,$839.25,25,25%,cash,completed,ios,mobile,1
64,131,68,20,2025-06-12 13:05:21,12-Jun-2025 13:05:21,2025-06-12T13:05:21-05:00,2,213.73,$213.73,0,0%,wallet,completed,web,desktop,0
65,134,60,12,2025-04-08 05:52:12,2025-04-08 05:52:12,2025-04-08T05:52:12-05:00,1,71.72,$71.72,15,15%,card,completed,web,desktop,0
66,131,30,16,2024-10-25 20:34:57,25-Oct-2024 20:34:57,2024-10-25T20:34:57-05:00,5,1010.28,"$1,010.28",0,0%,cash,completed,android,mobile,1
67,75,57,16,2025-04-07 20:09:55,07-Apr-2025 20:09:55,2025-04-07T20:09:55-05:00,1,160.57,$160.57,5,5%,wallet,completed,web,desktop,0
68,272,34,2,2025-02-14 23:24:22,2025/02/14 23:24,2025-02-14T23:24:22-05:00,3,589.62,$589.62,0,0%,card,pending,web,desktop,0
69,247,63,3,2025-03-05 16:52:41,2025-03-05 16:52:41,2025-03-05T16:52:41-05:00,4,1002.18,"$1,002.18",0,0%,card,completed,android,mobile,1
70,142,17,7,2025-06-12 09:24:06,2025-06-12 09:24:06,2025-06-12T09:24:06-05:00,1,144.03,$144.03,10,10%,card,pending,ios,mobile,0
71,91,46,6,2025-06-13 12:00:08,2025-06-13T12:00:08,2025-06-13T12:00:08-05:00,4,420.05,$420.05,0,0%,card,pending,web,desktop,0
72,281,40,14,2024-07-26 05:58:55,2024/07/26 05:58,2024-07-26T05:58:55-05:00,2,62.34,$62.34,0,0%,cash,refunded,android,mobile,0
73,275,73,20,2024-03-27 15:28:59,2024/03/27 15:28,2024-03-27T15:28:59-05:00,5,974.73,$974.73,10,10%,card,pending,web,desktop,1
74,120,38,4,2024-12-03 16:36:42,03/12/2024 16:36,2024-12-03T16:36:42-05:00,1,669.19,$669.19,0,0%,card,completed,ios,mobile,1
75,227,59,14,2024-12-18 10:01:22,2024-12-18 10:01:22,2024-12-18T10:01:22-05:00,1,78.95,$78.95,20,20%,transfer,completed,ios,mobile,0
76,120,55,16,2025-07-14 20:46:17,2025/07/14 20:46,2025-07-14T20:46:17-05:00,5,3434.14,"$3,434.14",0,0%,card,completed,android,mobile,1
77,255,21,5,2025-01-23 19:36:05,23/01/2025 19:36,2025-01-23T19:36:05-05:00,4,59.25,$59.25,5,5%,cash,completed,web,desktop,0
78,35,65,8,2025-01-29 07:52:20,2025-01-29 07:52:20,2025-01-29T07:52:20-05:00,5,609.62,$609.62,0,0%,wallet,completed,web,desktop,0
79,147,26,20,2025-04-30 16:26:25,2025/04/30 16:26,2025-04-30T16:26:25-05:00,5,1361.85,"$1,361.85",20,20%,card,completed,ios,mobile,1
80,28,4,12,2025-05-11 06:52:54,2025-05-11T06:52:54,2025-05-11T06:52:54-05:00,5,524.76,$524.76,0,0%,card,completed,android,mobile,0
81,72,38,6,2025-04-18 00:01:39,18/04/2025 00:01,2025-04-18T00:01:39-05:00,1,635.46,$635.46,0,0%,cash,pending,web,desktop,0
82,93,40,14,2024-04-28 17:07:49,2024/04/28 17:07,2024-04-28T17:07:49-05:00,3,84.63,$84.63,5,5%,cash,completed,android,mobile,0
83,190,8,11,2024-05-05 11:29:32,2024-05-05T11:29:32,2024-05-05T11:29:32-05:00,4,11.21,$11.21,0,0%,transfer,completed,ios,mobile,0
84,233,9,5,2025-02-15 22:30:32,2025-02-15 22:30:32,2025-02-15T22:30:32-05:00,1,39.08,$39.08,0,0%,card,completed,android,mobile,0
85,192,11,14,2025-04-10 05:08:10,2025/04/10 05:08,2025-04-10T05:08:10-05:00,3,574.38,$574.38,20,20%,card,completed,ios,mobile,0
86,72,72,13,2025-01-14 12:16:14,2025-01-14 12:16:14,2025-01-14T12:16:14-05:00,4,542.01,$542.01,0,0%,cash,refunded,ios,mobile,0
87,153,46,13,2024-03-27 21:21:55,2024/03/27 21:21,2024-03-27T21:21:55-05:00,1,109.79,$109.79,10,10%,card,completed,web,desktop,0
88,82,19,15,2024-08-26 20:28:43,26/08/2024 20:28,2024-08-26T20:28:43-05:00,4,2262.78,"$2,262.78",20,20%,card,completed,ios,mobile,1
89,258,63,9,2024-02-14 23:48:12,14/02/2024 23:48,2024-02-14T23:48:12-05:00,2,453.99,$453.99,5,5%,card,completed,android,mobile,0
90,39,28,3,2025-03-16 16:17:59,2025-03-16 16:17:59,2025-03-16T16:17:59-05:00,4,566.36,$566.36,10,10%,card,pending,android,mobile,0
91,258,41,12,2024-03-07 12:41:45,07-Mar-2024 12:41:45,2024-03-07T12:41:45-05:00,3,694.14,$694.14,0,0%,card,pending,android,mobile,1
92,127,25,6,2024-02-23 18:12:53,2024-02-23T18:12:53,2024-02-23T18:12:53-05:00,4,539.37,$539.37,20,20%,card,completed,ios,mobile,0
93,122,30,12,2024-04-07 16:20:45,07/04/2024 16:20,2024-04-07T16:20:45-05:00,2,427.88,$427.88,5,5%,cash,completed,web,desktop,0
94,75,48,4,2025-05-27 10:38:48,27-May-2025 10:38:48,2025-05-27T10:38:48-05:00,4,125.56,$125.56,0,0%,card,completed,web,desktop,0
95,56,65,1,2025-03-03 01:04:54,03/03/2025 01:04,2025-03-03T01:04:54-05:00,4,454.4,$454.40,5,5%,card,completed,web,desktop,0
96,126,11,17,2024-07-24 21:00:49,2024-07-24T21:00:49,2024-07-24T21:00:49-05:00,1,200.22,$200.22,10,10%,card,completed,android,mobile,0
97,31,4,17,2025-04-16 03:43:48,16-Apr-2025 03:43:48,2025-04-16T03:43:48-05:00,5,524.88,$524.88,0,0%,wallet,completed,web,desktop,0
98,154,27,14,2024-06-13 12:12:16,2024-06-13T12:12:16,2024-06-13T12:12:16-05:00,3,108.72,$108.72,0,0%,card,completed,web,desktop,0
99,30,42,5,2025-07-20 22:54:04,20/07/2025 22:54,2025-07-20T22:54:04-05:00,2,393.42,$393.42,25,25%,card,pending,ios,mobile,0
100,201,29,13,2025-07-07 18:19:55,2025/07/07 18:19,2025-07-07T18:19:55-05:00,3,74.51,$74.51,0,0%,card,completed,ios,mobile,0
101,165,49,13,2024-11-05 21:45:19,2024/11/05 21:45,2024-11-05T21:45:19-05:00,2,252.07,$252.07,0,0%,transfer,completed,android,mobile,0
102,109,51,17,2024-12-06 06:46:38,2024-12-06T06:46:38,2024-12-06T06:46:38-05:00,5,127.5,$127.50,0,0%,wallet,completed,web,desktop,0
103,92,63,3,2024-12-16 16:18:42,2024-12-16 16:18:42,2024-12-16T16:18:42-05:00,5,1196.67,"$1,196.67",5,5%,card,refunded,android,mobile,1
104,104,24,19,2024-07-11 13:17:44,11/07/2024 13:17,2024-07-11T13:17:44-05:00,5,326.61,$326.61,0,0%,transfer,completed,android,mobile,0
105,64,11,13,2024-02-19 17:31:45,2024/02/19 17:31,2024-02-19T17:31:45-05:00,4,702.01,$702.01,10,10%,card,completed,ios,mobile,1
106,46,12,6,2024-01-17 08:06:25,2024-01-17T08:06:25,2024-01-17T08:06:25-05:00,1,17.61,$17.61,5,5%,card,completed,web,desktop,0
107,183,75,1,2025-03-06 05:50:44,06/03/2025 05:50,2025-03-06T05:50:44-05:00,3,1211.91,"$1,211.91",5,5%,cash,pending,android,mobile,1
108,82,51,15,2025-04-02 01:19:07,02/04/2025 01:19,2025-04-02T01:19:07-05:00,4,111.78,$111.78,5,5%,wallet,completed,web,desktop,0
109,225,72,19,2024-01-06 14:02:49,2024-01-06 14:02:49,2024-01-06T14:02:49-05:00,3,388.73,$388.73,5,5%,cash,pending,web,desktop,0
110,22,43,3,2025-07-03 19:06:41,2025-07-03 19:06:41,2025-07-03T19:06:41-05:00,2,63.31,$63.31,0,0%,card,pending,web,desktop,0
111,184,30,15,2024-06-26 19:47:03,2024-06-26 19:47:03,2024-06-26T19:47:03-05:00,3,722.45,$722.45,10,10%,transfer,completed,web,desktop,1
112,65,36,5,2024-01-25 09:34:47,2024/01/25 09:34,2024-01-25T09:34:47-05:00,1,120.48,$120.48,0,0%,wallet,pending,android,mobile,0
113,257,36,3,2024-02-25 00:52:36,2024-02-25T00:52:36,2024-02-25T00:52:36-05:00,2,242.82,$242.82,0,0%,cash,completed,ios,mobile,0
114,75,72,3,2024-07-03 20:43:40,2024/07/03 20:43,2024-07-03T20:43:40-05:00,4,531.79,$531.79,10,10%,card,completed,android,mobile,0
115,66,40,17,2025-06-03 14:38:58,03-Jun-2025 14:38:58,2025-06-03T14:38:58-05:00,2,60.38,$60.38,10,10%,card,completed,web,desktop,0
116,111,31,2,2024-06-15 09:39:48,2024-06-15T09:39:48,2024-06-15T09:39:48-05:00,3,660.44,$660.44,20,20%,card,pending,web,desktop,0
117,53,39,1,2024-04-12 18:28:17,2024-04-12T18:28:17,2024-04-12T18:28:17-05:00,1,153.28,$153.28,25,25%,cash,completed,ios,mobile,0
118,214,31,17,2025-03-23 13:21:49,23-Mar-2025 13:21:49,2025-03-23T13:21:49-05:00,2,422.23,$422.23,10,10%,card,completed,web,desktop,0
119,53,24,15,2024-07-07 17:47:48,07-Jul-2024 17:47:48,2024-07-07T17:47:48-05:00,4,231.92,$231.92,15,15%,card,completed,web,desktop,0
120,248,75,9,2024-11-12 04:08:51,12/11/2024 04:08,2024-11-12T04:08:51-05:00,4,1580.78,"$1,580.78",0,0%,card,completed,ios,mobile,1
121,214,38,17,2024-03-14 06:21:37,2024-03-14 06:21:37,2024-03-14T06:21:37-05:00,2,1401.9,"$1,401.90",0,0%,wallet,completed,android,mobile,1
122,121,65,11,2025-05-26 20:19:43,26-May-2025 20:19:43,2025-05-26T20:19:43-05:00,3,356.66,$356.66,20,20%,cash,pending,android,mobile,0
123,83,49,6,2024-10-02 04:35:07,02-Oct-2024 04:35:07,2024-10-02T04:35:07-05:00,4,558.87,$558.87,0,0%,card,completed,android,mobile,0
124,217,55,10,2024-11-15 07:30:06,15-Nov-2024 07:30:06,2024-11-15T07:30:06-05:00,5,3353.66,"$3,353.66",10,10%,wallet,completed,android,mobile,1
125,281,73,20,2025-07-20 06:57:32,2025-07-20 06:57:32,2025-07-20T06:57:32-05:00,3,549.67,$549.67,25,25%,card,completed,web,desktop,0
126,41,47,16,2025-06-07 00:25:29,2025-06-07 00:25:29,2025-06-07T00:25:29-05:00,2,67.59,$67.59,15,15%,card,pending,web,desktop,0
127,229,13,4,2024-02-17 01:54:07,17-Feb-2024 01:54:07,2024-02-17T01:54:07-05:00,2,359.69,$359.69,10,10%,card,pending,web,desktop,0
128,109,45,13,2025-07-19 14:53:06,2025/07/19 14:53,2025-07-19T14:53:06-05:00,2,65.18,$65.18,20,20%,card,completed,android,mobile,0
129,149,28,8,2024-03-25 20:55:20,25/03/2024 20:55,2024-03-25T20:55:20-05:00,1,148.54,$148.54,0,0%,card,completed,web,desktop,0
130,138,53,12,2024-05-28 19:29:52,28/05/2024 19:29,2024-05-28T19:29:52-05:00,5,573.9,$573.90,0,0%,wallet,pending,ios,mobile,0
131,138,35,3,2025-02-20 13:05:27,20-Feb-2025 13:05:27,2025-02-20T13:05:27-05:00,1,228.47,$228.47,0,0%,cash,pending,web,desktop,0
132,230,65,20,2024-04-18 21:11:14,18-Apr-2024 21:11:14,2024-04-18T21:11:14-05:00,4,447.59,$447.59,0,0%,card,pending,ios,mobile,0
133,170,59,15,2024-05-22 12:27:53,2024/05/22 12:27,2024-05-22T12:27:53-05:00,1,80.2,$80.20,0,0%,card,completed,android,mobile,0
134,7,57,12,2024-12-25 08:00:44,25/12/2024 08:00,2024-12-25T08:00:44-05:00,3,465.63,$465.63,5,5%,transfer,completed,ios,mobile,0
135,264,72,13,2024-02-28 13:16:34,28-Feb-2024 13:16:34,2024-02-28T13:16:34-05:00,3,377.31,$377.31,0,0%,card,completed,web,desktop,0
136,79,44,4,2025-03-03 10:48:26,2025-03-03 10:48:26,2025-03-03T10:48:26-05:00,2,516.72,$516.72,0,0%,card,completed,ios,mobile,0
137,288,28,9,2024-02-09 07:02:05,2024-02-09T07:02:05,2024-02-09T07:02:05-05:00,1,130.22,$130.22,0,0%,card,completed,android,mobile,0
138,267,53,8,2024-01-12 11:06:22,2024-01-12 11:06:22,2024-01-12T11:06:22-05:00,4,432.58,$432.58,10,10%,card,completed,android,mobile,0
139,216,54,15,2024-07-02 14:25:59,02/07/2024 14:25,2024-07-02T14:25:59-05:00,1,227.98,$227.98,10,10%,wallet,completed,web,desktop,0
140,248,54,1,2024-11-11 16:06:25,11-Nov-2024 16:06:25,2024-11-11T16:06:25-05:00,2,421.86,$421.86,15,15%,card,pending,android,mobile,0
141,294,62,18,2025-01-08 21:10:16,08/01/2025 21:10,2025-01-08T21:10:16-05:00,2,460.92,$460.92,5,5%,cash,pending,web,desktop,0
142,235,33,17,2024-11-07 11:55:58,2024-11-07 11:55:58,2024-11-07T11:55:58-05:00,3,2170.53,"$2,170.53",20,20%,card,refunded,web,desktop,1
143,252,48,12,2024-05-07 21:03:30,07-May-2024 21:03:30,2024-05-07T21:03:30-05:00,3,90.01,$90.01,20,20%,card,completed,web,desktop,0
144,260,29,2,2024-01-02 16:10:44,02-Jan-2024 16:10:44,2024-01-02T16:10:44-05:00,1,24.83,$24.83,5,5%,wallet,completed,web,desktop,0
145,8,65,11,2024-07-24 23:44:35,24-Jul-2024 23:44:35,2024-07-24T23:44:35-05:00,1,109.44,$109.44,5,5%,transfer,completed,web,desktop,0
146,74,36,5,2024-08-09 13:25:51,09-Aug-2024 13:25:51,2024-08-09T13:25:51-05:00,4,572.31,$572.31,0,0%,cash,completed,web,desktop,0
147,55,72,16,2025-06-25 01:24:24,2025-06-25T01:24:24,2025-06-25T01:24:24-05:00,3,373.45,$373.45,0,0%,card,pending,web,desktop,0
148,228,9,2,2025-05-29 02:10:31,29-May-2025 02:10:31,2025-05-29T02:10:31-05:00,3,114.45,$114.45,5,5%,card,completed,web,desktop,0
149,94,35,3,2024-04-30 05:37:19,30/04/2024 05:37,2024-04-30T05:37:19-05:00,1,208.96,$208.96,0,0%,cash,refunded,web,desktop,0
150,181,68,1,2024-08-18 11:02:05,18/08/2024 11:02,2024-08-18T11:02:05-05:00,2,245.15,$245.15,20,20%,wallet,completed,android,mobile,0
151,41,5,1,2024-02-15 10:12:27,2024-02-15T10:12:27,2024-02-15T10:12:27-05:00,1,174.25,$174.25,10,10%,card,completed,ios,mobile,0
152,149,26,19,2025-07-25 11:08:06,2025-07-25T11:08:06,2025-07-25T11:08:06-05:00,3,812.43,$812.43,5,5%,wallet,pending,web,desktop,1
153,132,23,10,2024-02-17 08:19:53,2024/02/17 08:19,2024-02-17T08:19:53-05:00,4,575.28,$575.28,0,0%,cash,completed,web,desktop,0
154,103,46,14,2024-02-14 09:38:16,2024-02-14 09:38:16,2024-02-14T09:38:16-05:00,1,104.64,$104.64,0,0%,transfer,completed,web,desktop,0
155,283,40,4,2025-03-29 17:51:34,29-Mar-2025 17:51:34,2025-03-29T17:51:34-05:00,2,60.14,$60.14,0,0%,transfer,completed,web,desktop,0
156,181,23,13,2025-01-25 13:48:37,2025-01-25T13:48:37,2025-01-25T13:48:37-05:00,5,703.88,$703.88,5,5%,card,completed,web,desktop,1
157,138,40,7,2024-05-02 06:45:31,2024-05-02 06:45:31,2024-05-02T06:45:31-05:00,5,136.96,$136.96,0,0%,card,completed,android,mobile,0
158,38,36,15,2025-01-29 10:36:33,2025-01-29 10:36:33,2025-01-29T10:36:33-05:00,1,141.03,$141.03,5,5%,card,completed,ios,mobile,0
159,206,57,16,2024-05-24 08:01:42,2024-05-24 08:01:42,2024-05-24T08:01:42-05:00,3,495.98,$495.98,5,5%,card,completed,ios,mobile,0
160,241,16,10,2025-04-07 04:15:30,2025-04-07 04:15:30,2025-04-07T04:15:30-05:00,2,174.32,$174.32,0,0%,card,completed,ios,mobile,0
161,214,17,4,2025-06-08 10:52:27,08/06/2025 10:52,2025-06-08T10:52:27-05:00,4,559.08,$559.08,0,0%,cash,completed,ios,mobile,0
162,51,36,17,2024-11-09 14:55:18,2024-11-09 14:55:18,2024-11-09T14:55:18-05:00,1,130.49,$130.49,0,0%,card,completed,android,mobile,0
163,167,57,17,2025-03-18 11:31:09,18/03/2025 11:31,2025-03-18T11:31:09-05:00,2,319.08,$319.08,0,0%,card,completed,android,mobile,0
164,3,63,17,2025-03-25 15:50:00,2025-03-25T15:50:00,2025-03-25T15:50:00-05:00,4,965.7,$965.70,5,5%,card,completed,web,desktop,1
165,100,32,4,2024-01-31 20:50:17,2024-01-31T20:50:17,2024-01-31T20:50:17-05:00,2,1045.36,"$1,045.36",15,15%,card,completed,ios,mobile,1
166,162,61,4,2024-03-04 16:16:53,04-Mar-2024 16:16:53,2024-03-04T16:16:53-05:00,3,101.15,$101.15,10,10%,card,completed,web,desktop,0
167,283,6,8,2025-05-25 14:19:26,2025-05-25T14:19:26,2025-05-25T14:19:26-05:00,5,592.68,$592.68,10,10%,wallet,completed,android,mobile,0
168,89,20,4,2025-03-15 00:35:36,2025-03-15T00:35:36,2025-03-15T00:35:36-05:00,4,183.25,$183.25,20,20%,cash,completed,web,desktop,0
169,114,16,19,2024-09-02 17:33:40,2024/09/02 17:33,2024-09-02T17:33:40-05:00,3,260.98,$260.98,10,10%,card,completed,web,desktop,0
170,283,12,17,2024-06-07 15:40:02,2024/06/07 15:40,2024-06-07T15:40:02-05:00,1,15.94,$15.94,20,20%,cash,completed,web,desktop,0
171,50,19,5,2024-07-04 09:25:43,2024/07/04 09:25,2024-07-04T09:25:43-05:00,3,1531.4,"$1,531.40",0,0%,wallet,completed,ios,mobile,1
